Clase_actividad,Max_estrato_personas,Nombre,CP,Longitud,Latitud
RESTAURANTES CON SERVICIO DE PREPARACIÓN DE ANTOJITOS,5, BARBACOA,57210,-99.03863581,19.42382566
RESTAURANTES CON SERVICIO DE PREPARACIÓN DE ANTOJITOS,5, BARBACOA MALENO,13200,-99.04659126,19.29345911
RESTAURANTES CON SERVICIO DE PREPARACIÓN DE ANTOJITOS,5, BARBACOA SIN NOMBRE,74690,-97.92974509,18.58431443
RESTAURANTES CON SERVICIO DE PREPARACIÓN DE ANTOJITOS,5, BODEGA AUXILIAR SIN NOMBRE,30187,-91.98168530,16.31766098
HOTELES CON OTROS SERVICIOS INTEGRADOS,100, CE EXPO GUADALAJARA ,45055,-103.39830265,20.65123574
HOTELES CON OTROS SERVICIOS INTEGRADOS,50, CEROS CE ROSARITO ,03560,-117.06087559,32.37519468
HOTELES CON OTROS SERVICIOS INTEGRADOS,100, CEZLO CE MANZANILLO ,28218,-104.32414013,19.09924991
SERVICIOS DE PREPARACIÓN DE OTROS ALIMENTOS PARA CONSUMO INMEDIATO,5, CHAMOYADAS SIN NOMBRE,56343,-98.97780780,19.39520737
HOTELES CON OTROS SERVICIOS INTEGRADOS,50, CJSLP CJ SAN LUIS POTOSÍ CENTRO ,78174,-100.99713575,22.14969116
RESTAURANTES CON SERVICIO DE PREPARACIÓN DE ANTOJITOS,5, COCINA PARA LA PREPARACION DE ALIMENTOS,30187,-91.98168530,16.31766098
RESTAURANTES CON SERVICIO DE PREPARACIÓN DE TACOS Y TORTAS,5, COMIDA SIN NOMBRE,31000,-106.06899902,28.64306938
RESTAURANTES CON SERVICIO DE PREPARACIÓN DE PESCADOS Y MARISCOS,5, COMIDA SIN NOMBRE,31000,-106.06899902,28.64306938
RESTAURANTES CON SERVICIO DE PREPARACIÓN DE TACOS Y TORTAS,5, COMIDA SIN NOMBRE,31000,-106.06899902,28.64306938
RESTAURANTES CON SERVICIO DE PREPARACIÓN DE ALIMENTOS A LA CARTA O DE COMIDA CORRIDA,5, COMIDA SIN NOMBRE,54180,-99.10883466,19.51400949
RESTAURANTES QUE PREPARAN OTRO TIPO DE ALIMENTOS PARA LLEVAR,5, COMIDA SIN NOMBRE,76804,-99.96576856,20.39670417
